Shenker,3,Max Planck Institute for Intelligent Systems
Shekhar,0,University of Chicago
Shneiderman,10,
Shortliffe,0,Princeton University
Siewiorek,2,Penn State University
Sifakis,10,"Jesus College, Oxford"
Simon,10,Weizmann Institute
Singh,2,Bell Labs
Sitaraman,0,
Sleator,4,
Sloman,0,"University of California, Berkeley"
Sølvberg,0,
Smith,0,"University of Maryland, College Park"
Smith,1,
Spewak,0,Carnegie Mellon University
Spradling,0,CNRS
Sproull,0,Carnegie Mellon University
Srihari,0,North Carolina State University
Srihari,4,"University of Massachusetts, Amherst"
Stachowiak,0,Carnegie Mellon University
Stallman,5,University of Sussex
Stamper,0,
Starner,0,University of Toronto
Stearns,4,Stanford Artificial Intelligence Laboratory
Jr.,2,
Sterling,3,Northwest Missouri State University
Stepanov,0,
Stevens,0,
Stockmeyer,0,
Stolfo,0,
Stonebraker,9,
Storaasli,0,
Strachey,0,
Strassen,0,University at Albany
Stroustrup,11,Carnegie Mellon University
Sudan,3,Indiana University
Sussman,6,
Sutherland,2,
Sutherland,11,
Sweeney,0,
Szegedy,1,"University of California, Berkeley"
Tabriz,0,
Tamassia,0,University of Cambridge
Tanenbaum,0,University of Konstanz
Tate,5,Aarhus University
Thalheim,3,
Tardos,1,Massachusetts Institute of Technology
Tardos,4,United States Navy
Tarjan,5,Harvard University
Taylor,7,Harvard University
Tchou,0,Rutgers University
Teevan,1,
Teng,3,
Tesler,0,
Tevanian,0,University of Edinburgh
Thacker,1,Christian-Albrechts-Universität
Thalmann,3,Cornell University
Thompson,9,Central European University
Thrun,1,Princeton University
Tichy,0,Texas A&M University
Toda,0,
Toh,3,Microsoft Research
Torvalds,0,University of Southern California
Quevedo,1,Xerox PARC
Toussaint,0,
Townsend,0,Xerox
Tozer,0,Nanyang Technological University
Traub,0,Bell Labs
Tucker,0,Google X Lab
Tukey,7,Karlsruhe Institute of Technology
Turing,4,
Turner,0,National Tsing Hua University
Turoff,5,
Ullman,12,
Valiant,6,
Vapnik,1,DePauw University
Vardi,7,
Vaughan,0,Columbia University
Vauquois,0,
Vazirani,6,Bell Labs
Veloso,7,University of Manchester
Vernadat,0,Queen Mary University of London
Veryard,0,New Jersey Institute of Technology
Vilkomir,6,Stanford University
Vitanyi,0,Harvard University
Viterbi,2,Facebook Artificial Intelligence Research
Vitter,0,Rice University
Vixie,0,NACA
Wada,0,French National Centre for Scientific Research
Wagner,0,"University of California, Berkeley"
Waltz,2,JPMorgan Chase
Wang,0,
Ward,0,
Warmuth,2,London South Bank University
Warren,0,CWI
Warwick,4,University of Southern California
Weglarz,0,
Wadler,4,
Wegner,3,University of Tokyo
Wegstein,0,
Weinberger,0,Columbia University
Weiser,0,Pennsylvania State University
